Output_Voltage,Output_Power,Optimal_Config_Label,Mod_0_G,Mod_1_G,Mod_2_G,Mod_3_G,Mod_4_G,Mod_5_G,Mod_6_G,Mod_7_G,Mod_8_G
10.0,50.666666666666664,0,700,400,800,500,700,1000,300,700,800
14.166666666666668,71.77777777777779,0,700,400,800,500,700,1000,300,700,800
18.333333333333336,92.8888888888889,0,700,400,800,500,700,1000,300,700,800
22.5,114.0,0,700,400,800,500,700,1000,300,700,800
26.666666666666668,135.11111111111111,0,700,400,800,500,700,1000,300,700,800
30.833333333333336,156.22222222222223,0,700,400,800,500,700,1000,300,700,800
35.0,177.33333333333331,0,700,400,800,500,700,1000,300,700,800
39.16666666666667,586.9303720675888,0,700,400,800,500,700,1000,300,700,800
43.333333333333336,643.8681501590941,0,700,400,800,500,700,1000,300,700,800
47.5,699.7352972687775,0,700,400,800,500,700,1000,300,700,800
51.66666666666667,754.5132594104263,0,700,400,800,500,700,1000,300,700,800
55.833333333333336,808.0100270853028,0,700,400,800,500,700,1000,300,700,800
60.0,861.7239644894975,0,700,400,800,500,700,1000,300,700,800
64.16666666666667,916.3371105079794,0,700,400,800,500,700,1000,300,700,800
68.33333333333334,969.5599443830857,0,700,400,800,500,700,1000,300,700,800
72.5,1021.3652101845888,0,700,400,800,500,700,1000,300,700,800
76.66666666666667,1071.82764875607,0,700,400,800,500,700,1000,300,700,800
80.83333333333334,1121.0184393809043,0,700,400,800,500,700,1000,300,700,800
85.0,1168.9247647919813,0,700,400,800,500,700,1000,300,700,800
89.16666666666667,1215.0000371553206,0,700,400,800,500,700,1000,300,700,800
93.33333333333334,1254.8469169064688,0,700,400,800,500,700,1000,300,700,800
97.5,1266.6877971934673,0,700,400,800,500,700,1000,300,700,800
101.66666666666667,1197.1788077717597,0,700,400,800,500,700,1000,300,700,800
105.83333333333334,951.9284589419838,0,700,400,800,500,700,1000,300,700,800
110.0,359.8314518615285,0,700,400,800,500,700,1000,300,700,800
10.0,134.30020840032492,0,500,400,800,800,300,600,500,200,800
14.166666666666668,189.32734114822108,0,500,400,800,800,300,600,500,200,800
18.333333333333336,243.806647375548,0,500,400,800,800,300,600,500,200,800
22.5,297.7380478485033,0,500,400,800,800,300,600,500,200,800
26.666666666666668,351.12121919480956,0,500,400,800,800,300,600,500,200,800
30.833333333333336,403.9549659959176,0,500,400,800,800,300,600,500,200,800
35.0,456.23502598583985,0,500,400,800,800,300,600,500,200,800
39.16666666666667,507.9464679936746,0,500,400,800,800,300,600,500,200,800
43.333333333333336,559.0375596480862,0,500,400,800,800,300,600,500,200,800
47.5,609.3305305298832,0,500,400,800,800,300,600,500,200,800
51.66666666666667,658.2188254581187,0,500,400,800,800,300,600,500,200,800
55.833333333333336,703.6489353360759,0,500,400,800,800,300,600,500,200,800
60.0,738.7775796589505,0,500,400,800,800,300,600,500,200,800
64.16666666666667,766.8170774283014,0,500,400,800,800,300,600,500,200,800
68.33333333333334,808.8011371839402,0,500,400,800,800,300,600,500,200,800
72.5,849.6973447889138,0,500,400,800,800,300,600,500,200,800
76.66666666666667,889.507270962247,0,500,400,800,800,300,600,500,200,800
80.83333333333334,928.2254394722955,0,500,400,800,800,300,600,500,200,800
85.0,965.7901241323378,0,500,400,800,800,300,600,500,200,800
89.16666666666667,1001.6533463015571,0,500,400,800,800,300,600,500,200,800
93.33333333333334,1031.41528523889,0,500,400,800,800,300,600,500,200,800
97.5,1031.9450894589752,0,500,400,800,800,300,600,500,200,800
101.66666666666667,948.5535129535211,0,500,400,800,800,300,600,500,200,800
105.83333333333334,692.3027070028497,0,500,400,800,800,300,600,500,200,800
110.0,97.74153759530208,0,500,400,800,800,300,600,500,200,800
10.0,34.66666666666667,5,600,200,500,100,1000,600,900,100,1000
14.166666666666668,49.111111111111114,5,600,200,500,100,1000,600,900,100,1000
18.333333333333336,63.555555555555564,5,600,200,500,100,1000,600,900,100,1000
22.5,78.0,5,600,200,500,100,1000,600,900,100,1000
26.666666666666668,92.44444444444446,5,600,200,500,100,1000,600,900,100,1000
30.833333333333336,106.8888888888889,5,600,200,500,100,1000,600,900,100,1000
35.0,121.33333333333334,5,600,200,500,100,1000,600,900,100,1000
39.16666666666667,135.7777777777778,5,600,200,500,100,1000,600,900,100,1000
43.333333333333336,150.22222222222223,5,600,200,500,100,1000,600,900,100,1000
47.5,164.66666666666669,5,600,200,500,100,1000,600,900,100,1000
51.66666666666667,179.11111111111114,5,600,200,500,100,1000,600,900,100,1000
55.833333333333336,193.55555555555557,5,600,200,500,100,1000,600,900,100,1000
60.0,208.0,5,600,200,500,100,1000,600,900,100,1000
64.16666666666667,222.44444444444446,5,600,200,500,100,1000,600,900,100,1000
68.33333333333334,236.88888888888894,5,600,200,500,100,1000,600,900,100,1000
72.5,251.33333333333334,5,600,200,500,100,1000,600,900,100,1000
76.66666666666667,265.7777777777778,5,600,200,500,100,1000,600,900,100,1000
80.83333333333334,280.2222222222223,5,600,200,500,100,1000,600,900,100,1000
85.0,294.6666666666667,5,600,200,500,100,1000,600,900,100,1000
89.16666666666667,309.11111111111114,5,600,200,500,100,1000,600,900,100,1000
93.33333333333334,323.5555555555556,5,600,200,500,100,1000,600,900,100,1000
97.5,338.0,5,600,200,500,100,1000,600,900,100,1000
101.66666666666667,352.44444444444446,5,600,200,500,100,1000,600,900,100,1000
105.83333333333334,366.8888888888889,5,600,200,500,100,1000,600,900,100,1000
110.0,381.33333333333337,5,600,200,500,100,1000,600,900,100,1000
10.0,37.333333333333336,0,300,700,400,900,300,500,300,700,500
14.166666666666668,52.88888888888889,0,300,700,400,900,300,500,300,700,500
